관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,10월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
가파도,제주특별자치도 서귀포시 대정읍 가파로 ,관광지,자연,자연관광지,섬,12905.0,10.0,278.0,34.0,45.0,38.0,41.0,34.0,26.0,60.0
갈중이,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이 ,관광지,인문(문화/예술/역사),체험관광지,전통체험,500.0,10.0,18.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대7길 34 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,551.0,10.0,45.0,9.0,3.0,7.0,2.0,8.0,4.0,12.0
검멀레해변,제주특별자치도 제주시 우도면 우도해안길 (우도면),관광지,자연,자연관광지,해수욕장,3355.0,10.0,383.0,67.0,83.0,49.0,61.0,46.0,32.0,45.0
고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리 3135-1 ,관광지,자연,자연관광지,자연생태관광지,542.0,10.0,32.0,4.0,6.0,4.0,3.0,0.0,1.0,14.0
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565 ,관광지,자연,자연관광지,해수욕장,11572.0,10.0,533.0,102.0,88.0,87.0,65.0,62.0,54.0,75.0
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 ,관광지,자연,자연관광지,해수욕장,10642.0,10.0,606.0,109.0,112.0,99.0,88.0,54.0,38.0,106.0
구엄포구,제주특별자치도 제주시 애월읍 구엄리 607-5 일대 ,관광지,자연,자연관광지,항구/포구,563.0,10.0,38.0,8.0,6.0,1.0,6.0,5.0,3.0,9.0
금능포구,제주특별자치도 제주시 한림읍 금능리 ,관광지,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,457.0,10.0,38.0,2.0,9.0,3.0,3.0,7.0,5.0,9.0
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10 ,관광지,자연,자연관광지,해수욕장,13346.0,10.0,693.0,116.0,96.0,82.0,134.0,83.0,58.0,124.0
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1 (회천동) ,관광지,자연,자연관광지,자연생태관광지,4832.0,10.0,285.0,49.0,33.0,44.0,39.0,35.0,25.0,60.0
노을해안로,제주특별자치도 서귀포시 대정읍 영락리 ,관광지,자연,자연관광지,자연생태관광지,1349.0,10.0,108.0,20.0,14.0,9.0,7.0,20.0,21.0,17.0
논짓물,제주특별자치도 서귀포시 예래해안로 253 (하예동),관광지,자연,자연관광지,해수욕장,7654.0,10.0,188.0,20.0,24.0,35.0,25.0,24.0,19.0,41.0
누웨마루거리,제주특별자치도 제주시 신광로 47 (연동) ,관광지,인문(문화/예술/역사),체험관광지,이색거리,2082.0,10.0,184.0,25.0,35.0,26.0,26.0,26.0,20.0,26.0
다려도,제주특별자치도 제주시 조천읍 북촌리 산 89,관광지,자연,자연관광지,섬,696.0,10.0,30.0,8.0,3.0,2.0,3.0,7.0,1.0,6.0
닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1 ,관광지,자연,자연관광지,자연생태관광지,12241.0,10.0,2099.0,350.0,350.0,245.0,289.0,228.0,291.0,346.0
대평포구,제주특별자치도 서귀포시 안덕면 창천리 914-5 ,관광지,자연,자연관광지,항구/포구,1424.0,10.0,118.0,20.0,20.0,18.0,23.0,8.0,12.0,17.0
대포포구,제주특별자치도 서귀포시 대포로 172-8 (대포동),관광지,자연,자연관광지,항구/포구,585.0,10.0,29.0,6.0,3.0,5.0,3.0,2.0,3.0,7.0
도두항,제주특별자치도 제주시 도공로 2 (도두일동),관광지,자연,자연관광지,항구/포구,960.0,10.0,69.0,6.0,10.0,11.0,10.0,14.0,5.0,13.0
